,Diesel End User Price
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD/l
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,496710137
SR Code,SR174158057
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,31/01/2024
Series remarks,
Suggestions,
Mean,0.03811377245508982
Variance,0.0000856905059023934
Standard Deviation,0.009256916652017205
Skewness,0.2919590936354149
Kurtosis,-0.4914538275474065
Coefficient Variation,0.24287589644726995
Min,0.02153846153846154
Max,0.05730769230769231
Median,0.04576923076923077
Sum,
Subtract,
11/19/1990,0.04018867924528
11/26/1990,0.04018867924528
12/03/1990,0.04018867924528
12/10/1990,0.04018867924528
12/17/1990,0.04018867924528
12/24/1990,0.04018867924528
12/31/1990,0.04018867924528
01/07/1991,0.03788461538462
01/14/1991,0.03788461538462
01/21/1991,0.03788461538462
01/28/1991,0.03788461538462
02/04/1991,0.03788461538462
02/11/1991,0.03788461538462
02/18/1991,0.03788461538462
02/25/1991,0.03788461538462
03/04/1991,0.03788461538462
03/11/1991,0.03788461538462
03/18/1991,0.03788461538462
03/25/1991,0.03788461538462
04/01/1991,0.03788461538462
04/08/1991,0.03788461538462
04/15/1991,0.03788461538462
04/22/1991,0.03788461538462
04/29/1991,0.03788461538462
05/06/1991,0.03788461538462
05/13/1991,0.03788461538462
05/20/1991,0.03788461538462
05/27/1991,0.03788461538462
06/03/1991,0.03788461538462
06/10/1991,0.03788461538462
06/17/1991,0.03788461538462
06/24/1991,0.03788461538462
07/01/1991,0.03788461538462
07/08/1991,0.03788461538462
07/15/1991,0.03788461538462
07/22/1991,0.03788461538462
07/29/1991,0.03788461538462
08/05/1991,0.03788461538462
08/12/1991,0.03788461538462
08/19/1991,0.03788461538462
08/26/1991,0.03788461538462
09/02/1991,0.03788461538462
09/09/1991,0.03788461538462
09/16/1991,0.03788461538462
09/23/1991,0.03788461538462
09/30/1991,0.03788461538462
10/07/1991,0.03788461538462
10/14/1991,0.03788461538462
10/21/1991,0.03788461538462
10/28/1991,0.03788461538462
11/04/1991,0.03788461538462
11/11/1991,0.03788461538462
11/18/1991,0.03788461538462
11/25/1991,0.03788461538462
12/02/1991,0.03788461538462
12/09/1991,0.03788461538462
12/16/1991,0.03788461538462
12/23/1991,0.03788461538462
12/30/1991,0.03788461538462
01/06/1992,0.035
01/13/1992,0.035
01/20/1992,0.035
01/27/1992,0.035
02/03/1992,0.035
02/10/1992,0.035
02/17/1992,0.035
02/24/1992,0.035
03/02/1992,0.035
03/09/1992,0.035
03/16/1992,0.035
03/23/1992,0.035
03/30/1992,0.035
04/06/1992,0.035
04/13/1992,0.035
04/20/1992,0.035
04/27/1992,0.035
05/04/1992,0.035
05/11/1992,0.035
05/18/1992,0.035
05/25/1992,0.035
06/01/1992,0.035
06/08/1992,0.035
06/15/1992,0.035
06/22/1992,0.035
06/29/1992,0.035
07/06/1992,0.035
07/13/1992,0.035
07/20/1992,0.035
07/27/1992,0.035
08/03/1992,0.035
08/10/1992,0.035
08/17/1992,0.035
08/24/1992,0.035
08/31/1992,0.035
09/07/1992,0.035
09/14/1992,0.035
09/21/1992,0.035
09/28/1992,0.035
10/05/1992,0.035
10/12/1992,0.035
10/19/1992,0.035
10/26/1992,0.035
11/02/1992,0.035
11/09/1992,0.035
11/16/1992,0.035
11/23/1992,0.035
11/30/1992,0.035
12/07/1992,0.035
12/14/1992,0.035
12/21/1992,0.035
12/28/1992,0.035
01/04/1993,0.0325
01/11/1993,0.0325
01/18/1993,0.0325
01/25/1993,0.0325
02/01/1993,0.0325
02/08/1993,0.0325
02/15/1993,0.0325
02/22/1993,0.0325
03/01/1993,0.0325
03/08/1993,0.0325
03/15/1993,0.0325
03/22/1993,0.0325
03/29/1993,0.0325
04/05/1993,0.0325
04/12/1993,0.0325
04/19/1993,0.0325
04/26/1993,0.0325
05/03/1993,0.0325
05/10/1993,0.0325
05/17/1993,0.0325
05/24/1993,0.0325
05/31/1993,0.0325
06/07/1993,0.0325
06/14/1993,0.0325
06/21/1993,0.0325
06/28/1993,0.0325
07/05/1993,0.0325
07/12/1993,0.0325
07/19/1993,0.0325
07/26/1993,0.0325
08/02/1993,0.0325
08/09/1993,0.0325
08/16/1993,0.0325
08/23/1993,0.0325
08/30/1993,0.0325
09/06/1993,0.0325
09/13/1993,0.0325
09/20/1993,0.0325
09/27/1993,0.0325
10/04/1993,0.0325
10/11/1993,0.0325
10/18/1993,0.0325
10/25/1993,0.0325
11/01/1993,0.0325
11/08/1993,0.0325
11/15/1993,0.0325
11/22/1993,0.0325
11/29/1993,0.0325
12/06/1993,0.0325
12/13/1993,0.0325
12/20/1993,0.0325
12/27/1993,0.0325
01/03/1994,0.03019230769231
01/10/1994,0.03019230769231
01/17/1994,0.03019230769231
01/24/1994,0.03019230769231
01/31/1994,0.03019230769231
02/07/1994,0.03019230769231
02/14/1994,0.03019230769231
02/21/1994,0.03019230769231
02/28/1994,0.03019230769231
03/07/1994,0.03019230769231
03/14/1994,0.03019230769231
03/21/1994,0.03019230769231
03/28/1994,0.03019230769231
04/04/1994,0.03019230769231
04/11/1994,0.03019230769231
04/18/1994,0.03019230769231
04/25/1994,0.03019230769231
05/02/1994,0.03019230769231
05/09/1994,0.03019230769231
05/16/1994,0.03019230769231
05/23/1994,0.03019230769231
05/30/1994,0.03019230769231
06/06/1994,0.03019230769231
06/13/1994,0.03019230769231
06/20/1994,0.03019230769231
06/27/1994,0.03019230769231
07/04/1994,0.03019230769231
07/11/1994,0.03019230769231
07/18/1994,0.03019230769231
07/25/1994,0.03019230769231
08/01/1994,0.03019230769231
08/08/1994,0.03019230769231
08/15/1994,0.03019230769231
08/22/1994,0.03019230769231
08/29/1994,0.03019230769231
09/05/1994,0.03019230769231
09/12/1994,0.03019230769231
09/19/1994,0.03019230769231
09/26/1994,0.03019230769231
10/03/1994,0.03019230769231
10/10/1994,0.03019230769231
10/17/1994,0.03019230769231
10/24/1994,0.03019230769231
10/31/1994,0.03019230769231
11/07/1994,0.03019230769231
11/14/1994,0.03019230769231
11/21/1994,0.03019230769231
11/28/1994,0.03019230769231
12/05/1994,0.03019230769231
12/12/1994,0.03019230769231
12/19/1994,0.03019230769231
12/26/1994,0.03019230769231
01/02/1995,0.02923076923077
01/09/1995,0.02923076923077
01/16/1995,0.02923076923077
01/23/1995,0.02923076923077
01/30/1995,0.02923076923077
02/06/1995,0.02923076923077
02/13/1995,0.02923076923077
02/20/1995,0.02923076923077
02/27/1995,0.02923076923077
03/06/1995,0.02923076923077
03/13/1995,0.02923076923077
03/20/1995,0.02923076923077
03/27/1995,0.02923076923077
04/03/1995,0.02923076923077
04/10/1995,0.02923076923077
04/17/1995,0.02923076923077
04/24/1995,0.02923076923077
05/01/1995,0.02923076923077
05/08/1995,0.02923076923077
05/15/1995,0.02923076923077
05/22/1995,0.02923076923077
05/29/1995,0.02923076923077
06/05/1995,0.02923076923077
06/12/1995,0.02923076923077
06/19/1995,0.02923076923077
06/26/1995,0.02923076923077
07/03/1995,0.02923076923077
07/10/1995,0.02923076923077
07/17/1995,0.02923076923077
07/24/1995,0.02923076923077
07/31/1995,0.02923076923077
08/07/1995,0.02923076923077
08/14/1995,0.02923076923077
08/21/1995,0.02923076923077
08/28/1995,0.02923076923077
09/04/1995,0.02923076923077
09/11/1995,0.02923076923077
09/18/1995,0.02923076923077
09/25/1995,0.02923076923077
10/02/1995,0.02923076923077
10/09/1995,0.02923076923077
10/16/1995,0.02923076923077
10/23/1995,0.02923076923077
10/30/1995,0.02923076923077
11/06/1995,0.02923076923077
11/13/1995,0.02923076923077
11/20/1995,0.02923076923077
11/27/1995,0.02923076923077
12/04/1995,0.02923076923077
12/11/1995,0.02923076923077
12/18/1995,0.02923076923077
12/25/1995,0.02923076923077
01/01/1996,0.02528301886793
01/08/1996,0.02528301886793
01/15/1996,0.02528301886793
01/22/1996,0.02528301886793
01/29/1996,0.02528301886793
02/05/1996,0.02528301886793
02/12/1996,0.02528301886793
02/19/1996,0.02528301886793
02/26/1996,0.02528301886793
03/04/1996,0.02528301886793
03/11/1996,0.02528301886793
03/18/1996,0.02528301886793
03/25/1996,0.02528301886793
04/01/1996,0.02528301886793
04/08/1996,0.02528301886793
04/15/1996,0.02528301886793
04/22/1996,0.02528301886793
04/29/1996,0.02528301886793
05/06/1996,0.02528301886793
05/13/1996,0.02528301886793
05/20/1996,0.02528301886793
05/27/1996,0.02528301886793
06/03/1996,0.02528301886793
06/10/1996,0.02528301886793
06/17/1996,0.02528301886793
06/24/1996,0.02528301886793
07/01/1996,0.02528301886793
07/08/1996,0.02528301886793
07/15/1996,0.02528301886793
07/22/1996,0.02528301886793
07/29/1996,0.02528301886793
08/05/1996,0.02528301886793
08/12/1996,0.02528301886793
08/19/1996,0.02528301886793
08/26/1996,0.02528301886793
09/02/1996,0.02528301886793
09/09/1996,0.02528301886793
09/16/1996,0.02528301886793
09/23/1996,0.02528301886793
09/30/1996,0.02528301886793
10/07/1996,0.02528301886793
10/14/1996,0.02528301886793
10/21/1996,0.02528301886793
10/28/1996,0.02528301886793
11/04/1996,0.02528301886793
11/11/1996,0.02528301886793
11/18/1996,0.02528301886793
11/25/1996,0.02528301886793
12/02/1996,0.02528301886793
12/09/1996,0.02528301886793
12/16/1996,0.02528301886793
12/23/1996,0.02528301886793
12/30/1996,0.02528301886793
01/06/1997,0.02461538461539
01/13/1997,0.02461538461539
01/20/1997,0.02461538461539
01/27/1997,0.02461538461539
02/03/1997,0.02461538461539
02/10/1997,0.02461538461539
02/17/1997,0.02461538461539
02/24/1997,0.02461538461539
03/03/1997,0.02461538461539
03/10/1997,0.02461538461539
03/17/1997,0.02461538461539
03/24/1997,0.02461538461539
03/31/1997,0.02461538461539
04/07/1997,0.02461538461539
04/14/1997,0.02461538461539
04/21/1997,0.02461538461539
04/28/1997,0.02461538461539
05/05/1997,0.02461538461539
05/12/1997,0.02461538461539
05/19/1997,0.02461538461539
05/26/1997,0.02461538461539
06/02/1997,0.02461538461539
06/09/1997,0.02461538461539
06/16/1997,0.02461538461539
06/23/1997,0.02461538461539
06/30/1997,0.02461538461539
07/07/1997,0.02461538461539
07/14/1997,0.02461538461539
07/21/1997,0.02461538461539
07/28/1997,0.02461538461539
08/04/1997,0.02461538461539
08/11/1997,0.02461538461539
08/18/1997,0.02461538461539
08/25/1997,0.02461538461539
09/01/1997,0.02461538461539
09/08/1997,0.02461538461539
09/15/1997,0.02461538461539
09/22/1997,0.02461538461539
09/29/1997,0.02461538461539
10/06/1997,0.02461538461539
10/13/1997,0.02461538461539
10/20/1997,0.02461538461539
10/27/1997,0.02461538461539
11/03/1997,0.02461538461539
11/10/1997,0.02461538461539
11/17/1997,0.02461538461539
11/24/1997,0.02461538461539
12/01/1997,0.02461538461539
12/08/1997,0.02461538461539
12/15/1997,0.02461538461539
12/22/1997,0.02461538461539
12/29/1997,0.02461538461539
01/05/1998,0.0225
01/12/1998,0.0225
01/19/1998,0.0225
01/26/1998,0.0225
02/02/1998,0.0225
02/09/1998,0.0225
02/16/1998,0.0225
02/23/1998,0.0225
03/02/1998,0.0225
03/09/1998,0.0225
03/16/1998,0.0225
03/23/1998,0.0225
03/30/1998,0.0225
04/06/1998,0.0225
04/13/1998,0.0225
04/20/1998,0.0225
04/27/1998,0.0225
05/04/1998,0.0225
05/11/1998,0.0225
05/18/1998,0.0225
05/25/1998,0.0225
06/01/1998,0.0225
06/08/1998,0.0225
06/15/1998,0.0225
06/22/1998,0.0225
06/29/1998,0.0225
07/06/1998,0.0225
07/13/1998,0.0225
07/20/1998,0.0225
07/27/1998,0.0225
08/03/1998,0.0225
08/10/1998,0.0225
08/17/1998,0.0225
08/24/1998,0.0225
08/31/1998,0.0225
09/07/1998,0.0225
09/14/1998,0.0225
09/21/1998,0.0225
09/28/1998,0.0225
10/05/1998,0.0225
10/12/1998,0.0225
10/19/1998,0.0225
10/26/1998,0.0225
11/02/1998,0.0225
11/09/1998,0.0225
11/16/1998,0.0225
11/23/1998,0.0225
11/30/1998,0.0225
12/07/1998,0.0225
12/14/1998,0.0225
12/21/1998,0.0225
12/28/1998,0.0225
01/04/1999,0.02153846153846
01/11/1999,0.02153846153846
01/18/1999,0.02153846153846
01/25/1999,0.02153846153846
02/01/1999,0.02153846153846
02/08/1999,0.02153846153846
02/15/1999,0.02153846153846
02/22/1999,0.02153846153846
03/01/1999,0.02153846153846
03/08/1999,0.02153846153846
03/15/1999,0.02153846153846
03/22/1999,0.02153846153846
03/29/1999,0.02153846153846
04/05/1999,0.02153846153846
04/12/1999,0.02153846153846
04/19/1999,0.02153846153846
04/26/1999,0.02153846153846
05/03/1999,0.02153846153846
05/10/1999,0.02153846153846
05/17/1999,0.02153846153846
05/24/1999,0.02153846153846
05/31/1999,0.02153846153846
06/07/1999,0.02153846153846
06/14/1999,0.02153846153846
06/21/1999,0.02153846153846
06/28/1999,0.02153846153846
07/05/1999,0.02153846153846
07/12/1999,0.02153846153846
07/19/1999,0.02153846153846
07/26/1999,0.02153846153846
08/02/1999,0.02153846153846
08/09/1999,0.02153846153846
08/16/1999,0.02153846153846
08/23/1999,0.02153846153846
08/30/1999,0.02153846153846
09/06/1999,0.02153846153846
09/13/1999,0.02153846153846
09/20/1999,0.02153846153846
09/27/1999,0.02153846153846
10/04/1999,0.02153846153846
10/11/1999,0.02153846153846
10/18/1999,0.02153846153846
10/25/1999,0.02153846153846
11/01/1999,0.02153846153846
11/08/1999,0.02153846153846
11/15/1999,0.02153846153846
11/22/1999,0.02153846153846
11/29/1999,0.02153846153846
12/06/1999,0.02153846153846
12/13/1999,0.02153846153846
12/20/1999,0.02153846153846
12/27/1999,0.02153846153846
01/03/2000,0.02769230769231
01/10/2000,0.02769230769231
01/17/2000,0.02769230769231
01/24/2000,0.02769230769231
01/31/2000,0.02769230769231
02/07/2000,0.02769230769231
02/14/2000,0.02769230769231
02/21/2000,0.02769230769231
02/28/2000,0.02769230769231
03/06/2000,0.02769230769231
03/13/2000,0.02769230769231
03/20/2000,0.02769230769231
03/27/2000,0.02769230769231
04/03/2000,0.02769230769231
04/10/2000,0.02769230769231
04/17/2000,0.02769230769231
04/24/2000,0.02769230769231
05/01/2000,0.02769230769231
05/08/2000,0.02769230769231
05/15/2000,0.02769230769231
05/22/2000,0.02769230769231
05/29/2000,0.02769230769231
06/05/2000,0.02769230769231
06/12/2000,0.02769230769231
06/19/2000,0.02769230769231
06/26/2000,0.02769230769231
07/03/2000,0.02769230769231
07/10/2000,0.02769230769231
07/17/2000,0.02769230769231
07/24/2000,0.02769230769231
07/31/2000,0.02769230769231
08/07/2000,0.02769230769231
08/14/2000,0.02769230769231
08/21/2000,0.02769230769231
08/28/2000,0.02769230769231
09/04/2000,0.02769230769231
09/11/2000,0.02769230769231
09/18/2000,0.02769230769231
09/25/2000,0.02769230769231
10/02/2000,0.02769230769231
10/09/2000,0.02769230769231
10/16/2000,0.02769230769231
10/23/2000,0.02769230769231
10/30/2000,0.02769230769231
11/06/2000,0.02769230769231
11/13/2000,0.02769230769231
11/20/2000,0.02769230769231
11/27/2000,0.02769230769231
12/04/2000,0.02769230769231
12/11/2000,0.02769230769231
12/18/2000,0.02769230769231
12/25/2000,0.02769230769231
01/01/2001,0.03509433962264
01/08/2001,0.03509433962264
01/15/2001,0.03509433962264
01/22/2001,0.03509433962264
01/29/2001,0.03509433962264
02/05/2001,0.03509433962264
02/12/2001,0.03509433962264
02/19/2001,0.03509433962264
02/26/2001,0.03509433962264
03/05/2001,0.03509433962264
03/12/2001,0.03509433962264
03/19/2001,0.03509433962264
03/26/2001,0.03509433962264
04/02/2001,0.03509433962264
04/09/2001,0.03509433962264
04/16/2001,0.03509433962264
04/23/2001,0.03509433962264
04/30/2001,0.03509433962264
05/07/2001,0.03509433962264
05/14/2001,0.03509433962264
05/21/2001,0.03509433962264
05/28/2001,0.03509433962264
06/04/2001,0.03509433962264
06/11/2001,0.03509433962264
06/18/2001,0.03509433962264
06/25/2001,0.03509433962264
07/02/2001,0.03509433962264
07/09/2001,0.03509433962264
07/16/2001,0.03509433962264
07/23/2001,0.03509433962264
07/30/2001,0.03509433962264
08/06/2001,0.03509433962264
08/13/2001,0.03509433962264
08/20/2001,0.03509433962264
08/27/2001,0.03509433962264
09/03/2001,0.03509433962264
09/10/2001,0.03509433962264
09/17/2001,0.03509433962264
09/24/2001,0.03509433962264
10/01/2001,0.03509433962264
10/08/2001,0.03509433962264
10/15/2001,0.03509433962264
10/22/2001,0.03509433962264
10/29/2001,0.03509433962264
11/05/2001,0.03509433962264
11/12/2001,0.03509433962264
11/19/2001,0.03509433962264
11/26/2001,0.03509433962264
12/03/2001,0.03509433962264
12/10/2001,0.03509433962264
12/17/2001,0.03509433962264
12/24/2001,0.03509433962264
12/31/2001,0.03509433962264
01/07/2002,0.03461538461538
01/14/2002,0.03461538461538
01/21/2002,0.03461538461538
01/28/2002,0.03461538461538
02/04/2002,0.03461538461538
02/11/2002,0.03461538461538
02/18/2002,0.03461538461538
02/25/2002,0.03461538461538
03/04/2002,0.03461538461538
03/11/2002,0.03461538461538
03/18/2002,0.03461538461538
03/25/2002,0.03461538461538
04/01/2002,0.03461538461538
04/08/2002,0.03461538461538
04/15/2002,0.03461538461538
04/22/2002,0.03461538461538
04/29/2002,0.03461538461538
05/06/2002,0.03461538461538
05/13/2002,0.03461538461538
05/20/2002,0.03461538461538
05/27/2002,0.03461538461538
06/03/2002,0.03461538461538
06/10/2002,0.03461538461538
06/17/2002,0.03461538461538
06/24/2002,0.03461538461538
07/01/2002,0.03461538461538
07/08/2002,0.03461538461538
07/15/2002,0.03461538461538
07/22/2002,0.03461538461538
07/29/2002,0.03461538461538
08/05/2002,0.03461538461538
08/12/2002,0.03461538461538
08/19/2002,0.03461538461538
08/26/2002,0.03461538461538
09/02/2002,0.03461538461538
09/09/2002,0.03461538461538
09/16/2002,0.03461538461538
09/23/2002,0.03461538461538
09/30/2002,0.03461538461538
10/07/2002,0.03461538461538
10/14/2002,0.03461538461538
10/21/2002,0.03461538461538
10/28/2002,0.03461538461538
11/04/2002,0.03461538461538
11/11/2002,0.03461538461538
11/18/2002,0.03461538461538
11/25/2002,0.03461538461538
12/02/2002,0.03461538461538
12/09/2002,0.03461538461538
12/16/2002,0.03461538461538
12/23/2002,0.03461538461538
12/30/2002,0.03461538461538
01/06/2003,0.035
01/13/2003,0.035
01/20/2003,0.035
01/27/2003,0.035
02/03/2003,0.035
02/10/2003,0.035
02/17/2003,0.035
02/24/2003,0.035
03/03/2003,0.035
03/10/2003,0.035
03/17/2003,0.035
03/24/2003,0.035
03/31/2003,0.035
04/07/2003,0.035
04/14/2003,0.035
04/21/2003,0.035
04/28/2003,0.035
05/05/2003,0.035
05/12/2003,0.035
05/19/2003,0.035
05/26/2003,0.035
06/02/2003,0.035
06/09/2003,0.035
06/16/2003,0.035
06/23/2003,0.035
06/30/2003,0.035
07/07/2003,0.035
07/14/2003,0.035
07/21/2003,0.035
07/28/2003,0.035
08/04/2003,0.035
08/11/2003,0.035
08/18/2003,0.035
08/25/2003,0.035
09/01/2003,0.035
09/08/2003,0.035
09/15/2003,0.035
09/22/2003,0.035
09/29/2003,0.035
10/06/2003,0.035
10/13/2003,0.035
10/20/2003,0.035
10/27/2003,0.035
11/03/2003,0.035
11/10/2003,0.035
11/17/2003,0.035
11/24/2003,0.035
12/01/2003,0.035
12/08/2003,0.035
12/15/2003,0.035
12/22/2003,0.035
12/29/2003,0.035
01/05/2004,0.03826923076923
01/12/2004,0.03826923076923
01/19/2004,0.03826923076923
01/26/2004,0.03826923076923
02/02/2004,0.03826923076923
02/09/2004,0.03826923076923
02/16/2004,0.03826923076923
02/23/2004,0.03826923076923
03/01/2004,0.03826923076923
03/08/2004,0.03826923076923
03/15/2004,0.03826923076923
03/22/2004,0.03826923076923
03/29/2004,0.03826923076923
04/05/2004,0.03826923076923
04/12/2004,0.03826923076923
04/19/2004,0.03826923076923
04/26/2004,0.03826923076923
05/03/2004,0.03826923076923
05/10/2004,0.03826923076923
05/17/2004,0.03826923076923
05/24/2004,0.03826923076923
05/31/2004,0.03826923076923
06/07/2004,0.03826923076923
06/14/2004,0.03826923076923
06/21/2004,0.03826923076923
06/28/2004,0.03826923076923
07/05/2004,0.03826923076923
07/12/2004,0.03826923076923
07/19/2004,0.03826923076923
07/26/2004,0.03826923076923
08/02/2004,0.03826923076923
08/09/2004,0.03826923076923
08/16/2004,0.03826923076923
08/23/2004,0.03826923076923
08/30/2004,0.03826923076923
09/06/2004,0.03826923076923
09/13/2004,0.03826923076923
09/20/2004,0.03826923076923
09/27/2004,0.03826923076923
10/04/2004,0.03826923076923
10/11/2004,0.03826923076923
10/18/2004,0.03826923076923
10/25/2004,0.03826923076923
11/01/2004,0.03826923076923
11/08/2004,0.03826923076923
11/15/2004,0.03826923076923
11/22/2004,0.03826923076923
11/29/2004,0.03826923076923
12/06/2004,0.03826923076923
12/13/2004,0.03826923076923
12/20/2004,0.03826923076923
12/27/2004,0.03826923076923
01/03/2005,0.04576923076923
01/10/2005,0.04576923076923
01/17/2005,0.04576923076923
01/24/2005,0.04576923076923
01/31/2005,0.04576923076923
02/07/2005,0.04576923076923
02/14/2005,0.04576923076923
02/21/2005,0.04576923076923
02/28/2005,0.04576923076923
03/07/2005,0.04576923076923
03/14/2005,0.04576923076923
03/21/2005,0.04576923076923
03/28/2005,0.04576923076923
04/04/2005,0.04576923076923
04/11/2005,0.04576923076923
04/18/2005,0.04576923076923
04/25/2005,0.04576923076923
05/02/2005,0.04576923076923
05/09/2005,0.04576923076923
05/16/2005,0.04576923076923
05/23/2005,0.04576923076923
05/30/2005,0.04576923076923
06/06/2005,0.04576923076923
06/13/2005,0.04576923076923
06/20/2005,0.04576923076923
06/27/2005,0.04576923076923
07/04/2005,0.04576923076923
07/11/2005,0.04576923076923
07/18/2005,0.04576923076923
07/25/2005,0.04576923076923
08/01/2005,0.04576923076923
08/08/2005,0.04576923076923
08/15/2005,0.04576923076923
08/22/2005,0.04576923076923
08/29/2005,0.04576923076923
09/05/2005,0.04576923076923
09/12/2005,0.04576923076923
09/19/2005,0.04576923076923
09/26/2005,0.04576923076923
10/03/2005,0.04576923076923
10/10/2005,0.04576923076923
10/17/2005,0.04576923076923
10/24/2005,0.04576923076923
10/31/2005,0.04576923076923
11/07/2005,0.04576923076923
11/14/2005,0.04576923076923
11/21/2005,0.04576923076923
11/28/2005,0.04576923076923
12/05/2005,0.04576923076923
12/12/2005,0.04576923076923
12/19/2005,0.04576923076923
12/26/2005,0.04576923076923
01/02/2006,0.05057692307692
01/09/2006,0.05057692307692
01/16/2006,0.05057692307692
01/23/2006,0.05057692307692
01/30/2006,0.05057692307692
02/06/2006,0.05057692307692
02/13/2006,0.05057692307692
02/20/2006,0.05057692307692
02/27/2006,0.05057692307692
03/06/2006,0.05057692307692
03/13/2006,0.05057692307692
03/20/2006,0.05057692307692
03/27/2006,0.05057692307692
04/03/2006,0.05057692307692
04/10/2006,0.05057692307692
04/17/2006,0.05057692307692
04/24/2006,0.05057692307692
05/01/2006,0.05057692307692
05/08/2006,0.05057692307692
05/15/2006,0.05057692307692
05/22/2006,0.05057692307692
05/29/2006,0.05057692307692
06/05/2006,0.05057692307692
06/12/2006,0.05057692307692
06/19/2006,0.05057692307692
06/26/2006,0.05057692307692
07/03/2006,0.05057692307692
07/10/2006,0.05057692307692
07/17/2006,0.05057692307692
07/24/2006,0.05057692307692
07/31/2006,0.05057692307692
08/07/2006,0.05057692307692
08/14/2006,0.05057692307692
08/21/2006,0.05057692307692
08/28/2006,0.05057692307692
09/04/2006,0.05057692307692
09/11/2006,0.05057692307692
09/18/2006,0.05057692307692
09/25/2006,0.05057692307692
10/02/2006,0.05057692307692
10/09/2006,0.05057692307692
10/16/2006,0.05057692307692
10/23/2006,0.05057692307692
10/30/2006,0.05057692307692
11/06/2006,0.05057692307692
11/13/2006,0.05057692307692
11/20/2006,0.05057692307692
11/27/2006,0.05057692307692
12/04/2006,0.05057692307692
12/11/2006,0.05057692307692
12/18/2006,0.05057692307692
12/25/2006,0.05057692307692
01/01/2007,0.05075471698113
01/08/2007,0.05075471698113
01/15/2007,0.05075471698113
01/22/2007,0.05075471698113
01/29/2007,0.05075471698113
02/05/2007,0.05075471698113
02/12/2007,0.05075471698113
02/19/2007,0.05075471698113
02/26/2007,0.05075471698113
03/05/2007,0.05075471698113
03/12/2007,0.05075471698113
03/19/2007,0.05075471698113
03/26/2007,0.05075471698113
04/02/2007,0.05075471698113
04/09/2007,0.05075471698113
04/16/2007,0.05075471698113
04/23/2007,0.05075471698113
04/30/2007,0.05075471698113
05/07/2007,0.05075471698113
05/14/2007,0.05075471698113
05/21/2007,0.05075471698113
05/28/2007,0.05075471698113
06/04/2007,0.05075471698113
06/11/2007,0.05075471698113
06/18/2007,0.05075471698113
06/25/2007,0.05075471698113
07/02/2007,0.05075471698113
07/09/2007,0.05075471698113
07/16/2007,0.05075471698113
07/23/2007,0.05075471698113
07/30/2007,0.05075471698113
08/06/2007,0.05075471698113
08/13/2007,0.05075471698113
08/20/2007,0.05075471698113
08/27/2007,0.05075471698113
09/03/2007,0.05075471698113
09/10/2007,0.05075471698113
09/17/2007,0.05075471698113
09/24/2007,0.05075471698113
10/01/2007,0.05075471698113
10/08/2007,0.05075471698113
10/15/2007,0.05075471698113
10/22/2007,0.05075471698113
10/29/2007,0.05075471698113
11/05/2007,0.05075471698113
11/12/2007,0.05075471698113
11/19/2007,0.05075471698113
11/26/2007,0.05075471698113
